program_id,school_name,city,state,degree_type
558,University of Puget Sound,,Washington,OTD
561,University of Washington,,Washington,MOT
563,West Virginia University,,West Virginia,MOT
562,West Virginia University,,West Virginia,OTD
568,Carroll University,,Wisconsin,MOT
569,Concordia University Wisconsin,,Wisconsin,MOT
564,Concordia University Wisconsin,,Wisconsin,OTD
565,Marquette University,,Wisconsin,OTD
570,Mount Mary University,,Wisconsin,MOT
566,Mount Mary University,,Wisconsin,OTD
571,"University of Wisconsin, LaCrosse",,Wisconsin,MOT
567,"University of Wisconsin, Madison",,Wisconsin,OTD
572,"University of Wisconsin, Milwaukee",,Wisconsin,MOT
