program_id,school_name,city,state,degree_type,url_status,url_confidence,acota_program_url,acota_match_name,acota_match_score,discovery_notes,last_updated
508,Elizabethtown College,,Pennsylvania,MOT,pending,,,,,,
499,Elizabethtown College,,Pennsylvania,OTD,pending,,,,,,
509,Gannon University,,Pennsylvania,MOT,pending,,,,,,
510,Gwynedd Mercy University,,Pennsylvania,MOT,pending,,,,,,
511,Messiah University,,Pennsylvania,MOT,pending,,,,,,
512,Misericordia University,,Pennsylvania,MOT,pending,,,,,,
513,Moravian University,,Pennsylvania,MOT,pending,,,,,,
514,Salus University,,Pennsylvania,MOT,pending,,,,,,
500,Slippery Rock University,,Pennsylvania,OTD,pending,,,,,,
515,St. Francis University,,Pennsylvania,MOT,pending,,,,,,
516,St. Joseph's University,,Pennsylvania,MOT,pending,,,,,,
501,St. Joseph's University,,Pennsylvania,OTD,pending,,,,,,
517,Temple University,,Pennsylvania,MOT,pending,,,,,,
518,Thomas Jefferson University-Center City Campus,,Pennsylvania,MOT,pending,,,,,,
502,Thomas Jefferson University-Center City Campus,,Pennsylvania,OTD,pending,,,,,,
519,Thomas Jefferson University-East Falls Campus,,Pennsylvania,MOT,pending,,,,,,
503,University of Pittsburgh,,Pennsylvania,OTD,pending,,,,,,
520,University of Scranton,,Pennsylvania,MOT,pending,,,,,,
504,Widener University,,Pennsylvania,OTD,pending,,,,,,
521,"University of Puerto Rico, Medical Sciences Center",,Puerto Rico,MOT,pending,,,,,,
522,"Johnson & Wales University, Providence",,Rhode Island,OTD,pending,,,,,,
523,New England Institute of Technology,,Rhode Island,MOT,pending,,,,,,
524,Medical University of South Carolina,,South Carolina,OTD,pending,,,,,,
525,Presbyterian College,,South Carolina,OTD,pending,,,,,,
526,University of South Dakota,,South Dakota,OTD,pending,,,,,,
530,Belmont University,,Tennessee,MOT,pending,,,,,,
527,Belmont University,,Tennessee,OTD,pending,,,,,,
528,Lincoln Memorial University,,Tennessee,OTD,pending,,,,,,
531,Milligan University,,Tennessee,MOT,pending,,,,,,
532,Tennessee State University,,Tennessee,MOT,pending,,,,,,
533,Tennessee Wesleyan University - Downtown Knoxville Site,,Tennessee,MOT,pending,,,,,,
534,University of Tennessee Health Science Center,,Tennessee,MOT,pending,,,,,,
529,University of Tennessee at Chattanooga,,Tennessee,OTD,pending,,,,,,
544,Abilene Christian University,,Texas,MOT,pending,,,,,,
535,Abilene Christian University,,Texas,OTD,pending,,,,,,
536,Baylor University,,Texas,OTD,pending,,,,,,
537,Texas Tech University Health Sciences Center,,Texas,OTD,pending,,,,,,
538,Texas Woman's University,,Texas,OTD,pending,,,,,,
539,U.S. Army Medical Center of Excellence/Baylor University,,Texas,OTD,pending,,,,,,
545,University of Mary Hardin-Baylor,,Texas,MOT,pending,,,,,,
546,"University of St. Augustine for Health Sciences, Austin Campus",,Texas,MOT,pending,,,,,,
540,"University of St. Augustine for Health Sciences, Austin Campus",,Texas,OTD,pending,,,,,,
541,"University of St. Augustine for Health Sciences, Dallas Campus",,Texas,OTD,pending,,,,,,
542,University of Texas Health Science Center at San Antonio,,Texas,OTD,pending,,,,,,
543,University of Texas Medical Branch,,Texas,OTD,pending,,,,,,
547,University of Texas at El Paso,,Texas,MOT,pending,,,,,,
548,University of Texas at Tyler,,Texas,MOT,pending,,,,,,
549,University of Utah,,Utah,MOT,pending,,,,,,
550,"Emory and Henry University, Marion Campus",,Virginia,OTD,pending,,,,,,
554,James Madison University,,Virginia,MOT,pending,,,,,,
551,Mary Baldwin University,,Virginia,OTD,pending,,,,,,
555,Radford University,,Virginia,MOT,pending,,,,,,
556,Shenandoah University,,Virginia,MOT,pending,,,,,,
552,Shenandoah University,,Virginia,OTD,pending,,,,,,
557,"Shenandoah University, Scholar Plaza Campus",,Virginia,MOT,pending,,,,,,
553,Virginia Commonwealth University,,Virginia,OTD,pending,,,,,,
559,Eastern Washington University,,Washington,MOT,pending,,,,,,
560,University of Puget Sound,,Washington,MOT,pending,,,,,,
558,University of Puget Sound,,Washington,OTD,pending,,,,,,
561,University of Washington,,Washington,MOT,pending,,,,,,
563,West Virginia University,,West Virginia,MOT,pending,,,,,,
562,West Virginia University,,West Virginia,OTD,pending,,,,,,
568,Carroll University,,Wisconsin,MOT,pending,,,,,,
569,Concordia University Wisconsin,,Wisconsin,MOT,pending,,,,,,
564,Concordia University Wisconsin,,Wisconsin,OTD,pending,,,,,,
565,Marquette University,,Wisconsin,OTD,pending,,,,,,
570,Mount Mary University,,Wisconsin,MOT,pending,,,,,,
566,Mount Mary University,,Wisconsin,OTD,pending,,,,,,
571,"University of Wisconsin, LaCrosse",,Wisconsin,MOT,pending,,,,,,
567,"University of Wisconsin, Madison",,Wisconsin,OTD,pending,,,,,,
572,"University of Wisconsin, Milwaukee",,Wisconsin,MOT,pending,,,,,,
