program_id,school_name,city,state,degree_type,program_url,url_status,search_attempts,url_confidence,discovered_url,discovered_url_2,search_query_used,scrape_notes,estimated_year
335,Trinity Washington University,,District of Columbia,MOT,,url_found,3,high,https://trinity.edu/directory/departments-offices/student-financial-services/tuition-fees/graduate-cost-attendance,https://www2.trinitydc.edu/affordability-tuition-scholarships-and-financial-aid/,Trinity Washington University Master of Occupational Therapy tuition cost of attendance,,
342,AdventHealth University,,Florida,MOT,,url_found,3,medium,https://www.ahu.edu/tuition-and-aid/cost-of-attendance,https://research.com/best-colleges/adventhealth-university/tuition-fees,AdventHealth University Master of Occupational Therapy tuition cost of attendance,,
343,Barry University,,Florida,MOT,,url_found,3,high,https://barry.smartcatalogiq.com/en/2025-2026/graduate-catalog/tuition-fees-and-financial-aid/2025-2026-tuition-and-fee-schedule,https://research.com/best-colleges/barry-university/tuition-fees,Barry University Master of Occupational Therapy tuition cost of attendance,,2025
344,Florida Agricultural and Mechanical University,,Florida,MOT,,url_found,3,medium,https://phhp.ufl.edu/academics/phd-and-professional-programs/occupational-therapy-doctorate/tuition-and-scholarship/otd-estimated-cost-of-attendance/,https://research.com/advice/online-occupational-therapy-masters-degree-program-costs-tuition-fees,Florida Agricultural and Mechanical University Master of Occupational Therapy tuition cost of attendance,,
345,Florida Gulf Coast University,,Florida,MOT,,url_found,3,high,https://westcoastuniversity.smartcatalogiq.com/en/summer-2024/summer-2024/financial-policies-and-information/tuition-and-fees/texas-graduate-programs/master-of-science-in-occupational-therapy,https://www.fgcu.edu/admissionsandaid/financialaid/graduate/cost/costofattendance,Florida Gulf Coast University Master of Occupational Therapy tuition cost of attendance,,2024
346,Florida International University,,Florida,MOT,,url_found,3,medium,https://phhp.ufl.edu/academics/phd-and-professional-programs/occupational-therapy-doctorate/tuition-and-scholarship/otd-estimated-cost-of-attendance/,https://ahealth.famu.edu/departments-and-centers/occupational-therapy/cost-of-tuition.php,Florida International University Master of Occupational Therapy tuition cost of attendance,,
336,Gannon University-Florida Campus,,Florida,OTD,,url_found,3,high,https://www.gannon.edu/tuition-and-financial-aid/tuition-and-fees/student-cost-transparency/cost-of-attendance-2025-2026/,https://www.gannon.edu/tuition-and-financial-aid/tuition-and-fees/revised-tuition-structure/,Gannon University-Florida Campus Doctor of Occupational Therapy tuition cost of attendance,,2025
337,Jacksonville University,,Florida,OTD,,url_found,3,medium,https://research.com/advice/how-much-does-an-occupational-therapy-degree-program-cost-tuition-fees-total-expense-breakdown,https://www.ju.edu/occupationaltherapy/admissions/tuition-fees.php,Jacksonville University Doctor of Occupational Therapy tuition cost of attendance,,
347,"Keiser University, Fort Myers",,Florida,MOT,,url_found,3,high,https://www.keiseruniversity.edu/wp-content/uploads/grad-programs/MSOT-Costs.pdf,https://www.keiseruniversity.edu/financial-services/tuition/,"Keiser University, Fort Myers Master of Occupational Therapy tuition cost of attendance",,
348,"Keiser University, Ft. Lauderdale Campus",,Florida,MOT,,url_found,3,high,https://www.keiseruniversity.edu/wp-content/uploads/grad-programs/MSOT-Costs.pdf,https://www.keiseruniversity.edu/financial-services/tuition/,"Keiser University, Ft. Lauderdale Campus Master of Occupational Therapy tuition cost of attendance",,
