school_code,school_name,city,state,degree_type,board_pass_rate_first_time_2yr,board_pass_rate_ultimate_2yr,graduates_tested,program_length_months,tuition_per_year,tuition_instate,tuition_is_oos,total_program_cost,total_program_cost_instate,cost_source_url
0409,Harding University,,Arkansas,DPT,96.3,100.0,54.0,32.0,46590.0,,,143844.0,,https://www.harding.edu/allied-health/physical-therapy/
0410,University of Arkansas for Medical Sciences,,Arkansas,DPT,100.0,100.0,45.0,34.0,20000.0,,,79364.0,,https://healthprofessions.uams.edu/programs/physical-therapy
0413,Arkansas Colleges of Health Education,,Arkansas,DPT,42.9,,28.0,36.0,33000.0,,,109959.0,,https://physicaltherapy.achehealth.edu/wp-content/uploads/sites/5/2025/03/2025-2026-dpt-student-financial-fact-sheet.pdf
0501,"California State University, Fresno",,California,DPT,89.1,100.0,64.0,,25835.0,,,79868.0,,http://fresnostate.edu/chhs/physical-therapy/index.html
0502,"California State University, Long Beach",,California,DPT,98.6,100.0,71.0,36.0,21212.0,,,127272.0,,https://www.csulb.edu/student-records/tuition-and-fees
0503,"California State University, Northridge",,California,DPT,94.9,98.31,59.0,30.0,28980.0,,,98797.0,,https://www.csun.edu/health-human-development/physical-therapy
0504,Chapman University,,California,DPT,88.6,98.68,149.0,31.0,54981.0,,,182193.0,,https://www.chapman.edu/crean/academic-programs/graduate-programs/physical-therapy/_files/dpt_fact-sheet-2023_2024.pdf
0505,Loma Linda University,,California,DPT,87.3,99.1,110.0,36.0,54000.0,,,162000.0,,https://alliedhealth.llu.edu/academics/physical-therapy/entry-level-doctor-physical-therapy-dpt
0506,Mount Saint Mary's University,,California,DPT,88.7,100.0,53.0,33.0,55232.0,,,161783.0,,https://www.msmu.edu/media/website/academics/departments/physical-therapy/2025-dpt-student-financial-fact-sheet.pdf
0507,University of CA / San Francisco State University,,California,DPT,85.6,100.0,97.0,36.0,,,,,,https://ptrehab.ucsf.edu/dpt-program
0508,University of The Pacific,,California,DPT,79.2,97.22,72.0,25.0,75213.0,,,168113.0,,https://healthsciences.pacific.edu/sites/default/files/users/user815/2022-2023-University%20of%20the%20Pacific%20student-financial-fact-sheet.pdf
0509,University of Southern California,,California,DPT,86.6,99.5,202.0,33.0,84023.0,,0.0,235572.0,,https://pt.usc.edu/programs/doctor-of-physical-therapy-dpt/
0516,Samuel Merritt University,,California,DPT,80.7,98.86,88.0,32.0,65292.0,,,168858.0,,https://www.samuelmerritt.edu/sites/default/files/2025-11/2025-dpt-student-financial-fact-sheet.pdf
0517,Western University of Health Sciences - California,,California,DPT,77.5,100.0,102.0,32.0,49703.0,,,184844.0,,
0521,"California State University, Sacramento",,California,DPT,95.1,98.36,61.0,36.0,46490.0,28980.0,1.0,99176.0,86940.0,https://www.csus.edu/college/health-human-services/physical-therapy/_internal/documents/2025-dpt-student-financial-fact-sheet1.pdf
0522,University of St Augustine for Health Sciences -  California,,California,DPT,76.6,97.83,367.0,28.0,84023.0,,,136226.0,,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/dpt-tuition-fees/
0523,Azusa Pacific University,,California,DPT,84.2,99.26,133.0,36.0,39975.0,,0.0,119925.0,,https://www.apu.edu/programs/dpt/
0528,University of St Augustine for Health Sciences  ONLINE FLEX EXPANSION PROGRAM in San Diego,,California,DPT,63.2,96.0,95.0,36.0,60000.0,,,180000.0,,https://www.capteonline.org/globalassets/capte-docs/2024-dpt-student-financial-fact-sheet-revised-9.3.2024.docx
0537,San Diego State University,,California,DPT,91.9,98.65,74.0,36.0,47334.0,28434.0,1.0,169105.0,85302.0,https://physicaltherapy.sdsu.edu/prospective/tuition
0540,West Coast University,,California,DPT,77.5,97.5,80.0,36.0,40299.0,,,120897.0,,https://westcoastuniversity.edu/programs/doctor-physical-therapy
0548,University of Southern California - Hybrid DPT  Program,,California,DPT,81.3,96.91,96.0,32.0,86125.0,,,232815.0,,https://pt.usc.edu/wp-content/uploads/2025-dpt-student-financial-fact-sheet-hybrid-pathway-2.pdf
0601,University of Colorado,,Colorado,DPT,87.1,99.3,139.0,34.0,29280.0,,,73419.0,,https://medschool.cuanschutz.edu/physical-therapy-program/education-programs/doctor-of-physical-therapy/about-our-program/tuition-fees
0606,Regis University,,Colorado,DPT,87.7,99.38,162.0,28.0,50102.0,,,132552.0,,https://www.regis.edu/_documents/academics/colleges-and-schools/physical-therapy/dpt-financial-fs-form.pdf
0701,Quinnipiac University,,Connecticut,DPT,96.7,100.0,122.0,36.0,52710.0,,,137950.0,,https://www.qu.edu/48fefa/globalassets/global/media/qu/documents/academics/school-of-health-sciences/programs/pa-2025/2025-dpt-student-financial-fact-sheet.pdf
0702,University of Connecticut,,Connecticut,DPT,86.0,100.0,57.0,36.0,65328.0,,,184646.0,,https://physicaltherapy.cahnr.uconn.edu/costs/
0704,University of Hartford,,Connecticut,DPT,88.1,100.0,67.0,36.0,34045.0,,,102135.0,,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-rehabilitation-sciences/doctor-of-physical-therapy.aspx
0706,Sacred Heart University,,Connecticut,DPT,89.4,100.0,132.0,33.0,39500.0,,,120830.0,,https://www.sacredheart.edu/media/shu-media/physical-therapy/2025-SHU-DPT-Student-Financial-Fact-Sheet_ADA.pdf
0801,University of Delaware,,Delaware,DPT,95.8,100.0,167.0,30.0,43722.0,,,120284.0,,https://www.udel.edu/content/dam/udelImages/chs/Documents/PT/2025-dpt-student-financial-fact-sheet.pdf
0901,Howard University,,District of Columbia,DPT,79.2,96.15,24.0,,38454.0,,,151898.0,,https://cnahs.howard.edu/sites/cnahs.howard.edu/files/2025-07/HU%20DPT%20Finananical%20Fact%20Sheet%202025-2026Final%5B96%5D.pdf
0902,George Washington University,,District of Columbia,DPT,96.6,100.0,89.0,36.0,48954.0,,,151370.0,,https://physicaltherapy.smhs.gwu.edu/financial-fact-sheet
1001,Florida Agricultural and Mechanical University,,Florida,DPT,73.3,91.11,45.0,36.0,45990.0,18270.0,1.0,111025.0,54810.0,https://www.famu.edu/academics/all-programs/ahealth/pdf/DPT%20Financial%20fact%20sheet%202024-2025.pdf
1002,Florida International University,,Florida,DPT,79.8,97.48,119.0,36.0,46009.0,25442.0,1.0,146610.0,76326.0,https://cnhs.fiu.edu/_assets/docs/resources/physical-therapy/financial-fact-sheet-2025-2026.pdf
