State,School Code,School,First-Time Pass Rate  2023-2024,Graduates who took  the NPTE 2023-2024
GA,1102,Georgia State University,96.4,83
GA,1103,Augusta University,95.8,71
GA,1107,University of North Georgia,89.8,59
GA,1109,Georgia Southern University,95.6,68
GA,1115,Mercer University,91.9,74
GA,1118,Brenau University,92.4,79
GA,1119,Philadelphia College of Osteopathic Medicine,76.3,76
GBR,6231,Robert Gordon University - DPT,50.0,2
HI,1202,Hawaii Pacific University,69.2,91
IA,1601,University of lowa,97.8,90
IA,1602,Des Moines University - Osteopathic Medical Center,88.2,102
IA,1605,St Ambrose University,96.9,65
IA,1608,Clarke University,100.0,51
IA,1612,Briar Cliff University,76.8,56
IA,1613,Allen College,46.2,13
ID,1301,Idaho State University,88.9,90
IL,1401,Northern Illinois University,75.5,53
IL,1402,Northwestern University,86.0,178
IL,1403,Rosalind Franklin University of Medicine and Science,82.8,87
IL,1405,University of Illinois at Chicago,91.2,113
IL,1411,Bradley University,89.1,55
IL,1417,Midwestern University - IL,90.0,90
IL,1420,Governors State University,62.7,59
IN,1501,Indiana University,97.6,82
IN,1502,University of Evansville,93.6,93
IN,1507,University of Indianapolis,88.8,89
IN,1513,Trine University,95.9,73
IN,1514,Indiana State University,94.0,50
IN,1516,Hanover College,53.4,163
IN,1517,Indiana Wesleyan University,68.4,19
KS,1701,University of Kansas Medical Center,79.7,118
KS,1702,Wichita State University,94.0,83
KS,1710,University of Saint Mary,91.4,70
KY,1801,University of Kentucky,92.7,123
KY,1808,Bellarmine University,81.6,141
KY,1810,Western Kentucky University,93.3,60
KY,1813,University of the Cumberlands,41.2,17
LA,1901,Louisiana State Univ Health Sciences Center - New  Orleans,90.3,62
LA,1905,Louisiana State Univ Health Sciences Center -  Shreveport,95.7,69
LA,1907,Franciscan Missionaries of Our Lady University,76.0,75
MA,0201,Boston University,83.3,138
MA,0202,Northeastern University,84.4,192
MA,0203,Simmons University,85.1,74
MA,0204,Springfield College,91.1,79
MA,0205,University of Massachusetts Lowell,86.6,67
MA,0219,MGH Institute of Health Professions,83.8,136
MA,0220,American International College,78.9,52
MA,0222,MCPHS University,82.6,69
MA,0225,Tufts University,68.8,80
MD,2101,University of Maryland - Baltimore,78.8,137
MD,2102,University of Maryland - Eastern Shore,98.3,57
ME,2001,University of New England,84.8,112
ME,2003,Husson University,87.9,66
MI,2301,Andrews University,73.9,65
MI,2302,Grand Valley State University,89.3,112
MI,2303,Oakland University,87.8,74
MI,2304,University of Michigan - Flint,81.8,110
MI,2305,Wayne State University,95.6,68
MI,2315,Central Michigan University,88.6,88
MI,2322,Central Michigan University - EXPANSION PROGRAM  at Michigan Technological University,77.8,18
MI,2325,Western Michigan University,78.9,52
MN,2401,College of St Scholastica,87.2,94
