school_name,city,state,degree_type,program_url,outcomes_url,matched_program_id,match_score,match_action
Florida International University,Miami,FL,Doctor of Physical Therapy,https://cnhs.fiu.edu/academics/physical-therapy/index.html,https://cnhs.fiu.edu/academics/physical-therapy/outcomes/index.html,85,1.000,url_added
Florida Southern College,Lakeland,FL,Doctor of Physical Therapy,https://www.flsouthern.edu/adult-graduate/doctoral/programs/dpt-physical-therapy.aspx,https://www.flsouthern.edu/academic-life/all-academic-programs/adult/doctoral/doctor-of-physical-therapy,99,1.000,url_added
Gannon University - Florida,Ruskin,FL,Doctor of Physical Therapy,https://www.gannon.edu/academic-offerings/health-professions-and-sciences/ruskin/physical-therapy/,https://www.gannon.edu/academic-offerings/health-professions-and-sciences/ruskin/physical-therapy/program-goals-and-outcomes/,97,1.000,url_added
Nova Southeastern University-Ft Lauderdale,Ft Lauderdale,FL,Doctor of Physical Therapy,https://osteopathic.nova.edu/degrees/doctoral/physical-therapy/index.html,https://osteopathic.nova.edu/degrees/doctoral/physical-therapy/index.html,90,1.000,url_added
Nova Southeastern University-Tampa,Clearwater,FL,Doctor of Physical Therapy,https://osteopathic.nova.edu/degrees/doctoral/physical-therapy/tampa/index.html,https://osteopathic.nova.edu/degrees/doctoral/physical-therapy/tampa/index.html,94,1.000,url_added
University of Central Florida,Orlando,FL,Doctor of Physical Therapy,https://healthprofessions.ucf.edu/physicaltherapy/,https://healthprofessions.ucf.edu/physicaltherapy/outcomes/,89,1.000,url_added
University of Florida,Gainesville,FL,Doctor of Physical Therapy,https://phhp.ufl.edu/academics/phd-and-professional-programs/physical-therapy-doctorate/,https://pt.phhp.ufl.edu/education-programs/accreditation/,86,1.000,url_added
University of Miami,Coral Gables,FL,Doctor of Physical Therapy,https://med.miami.edu/departments/physical-therapy/education/dpt-program,https://med.miami.edu/departments/physical-therapy/education/dpt-program,87,1.000,url_added
University of North Florida,Jacksonville,FL,Doctor of Physical Therapy,https://www.unf.edu/brooks/physical-therapy/doctor-physical-therapy.html,https://www.unf.edu/brooks/physical-therapy/doctor-physical-therapy.html,88,1.000,url_added
University of South Florida,Tampa,FL,Doctor of Physical Therapy,https://health.usf.edu/medicine/dpt,https://health.usf.edu/medicine/dpt/accreditation,93,1.000,url_added
University of St Augustine for Health Sciences-Florida,St Augustine,FL,Doctor of Physical Therapy,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,91,1.000,url_added
