state,program_type,school,pass_rate
Minnesota,OT Masters-Level Programs,College of St. Scholastica,100
Minnesota,OT Masters-Level Programs,St. Catherine University,96
Minnesota,OTA Level Program,Anoka Technical College,93
Minnesota,OTA Level Program,Northland Community and Technical College,100
Minnesota,OTA Level Program,St. Catherine University,89
Mississippi,OT Doctoral-Level Programs,University of Mississippi Medical Center,100
Mississippi,OT Masters-Level Programs,University of Mississippi Medical Center,100
Mississippi,OTA Level Program,"Holmes Community College, Ridgeland",100
Mississippi,OTA Level Program,"Itawamba Community College, Tupelo Campus",88
Mississippi,OTA Level Program,Mississippi Gulf Coast Community College,100
Mississippi,OTA Level Program,Pearl River Community College,89
Missouri,OT Doctoral-Level Programs,Rockhurst University,91
Missouri,OT Doctoral-Level Programs,University of Missouri,100
Missouri,OT Doctoral-Level Programs,Washington University,96
Missouri,OT Masters-Level Programs,Cox College,100
Missouri,OT Masters-Level Programs,Maryville University,100
Missouri,OT Masters-Level Programs,Missouri State University,100
Missouri,OT Masters-Level Programs,St. Louis University,98
Missouri,OT Masters-Level Programs,Washington University,100
Missouri,OTA Level Program,Central Methodist University,100
Missouri,OTA Level Program,"Crowder College, Webb City",80
Missouri,OTA Level Program,"Jefferson College, Hillsboro",100
Missouri,OTA Level Program,"Metropolitan Community College, Penn Valley",100
Missouri,OTA Level Program,Missouri Health Professions Consortium,76
Missouri,OTA Level Program,Ozarks Technical Community College,100
Missouri,OTA Level Program,St. Charles Community College,76
Missouri,OTA Level Program,"St. Louis Community College, Forest Park",100
Missouri,OTA Level Program,University of Missouri,77
Montana,OT Doctoral-Level Programs,Rocky Mountain College,97
Montana,OT Doctoral-Level Programs,"University of Mary, Billings",100
Nebraska,OT Doctoral-Level Programs,College of Saint Mary,87
Nebraska,OT Doctoral-Level Programs,Creighton University,97
Nebraska,OT Doctoral-Level Programs,University of Nebraska Medical Center,100
Nebraska,OT Masters-Level Programs,College of Saint Mary,67
Nebraska,OT Masters-Level Programs,Nebraska Methodist College,92
Nebraska,OTA Level Program,"Central Community College, Grand Island",79
Nebraska,OTA Level Program,Union Adventist University,83
Nevada,OT Doctoral-Level Programs,Touro University Nevada,94
Nevada,OT Doctoral-Level Programs,"University of Nevada, Las Vegas",97
Nevada,OTA Level Program,"Pima Medical Institute, Las Vegas",94
New Hampshire,OT Masters-Level Programs,"MCPHS University, Manchester Campus",84
New Hampshire,OT Masters-Level Programs,University of New Hampshire,96
New Hampshire,OTA Level Program,River Valley Community College,100
New Jersey,OT Doctoral-Level Programs,Kean University,100
New Jersey,OT Doctoral-Level Programs,Monmouth University,100
New Jersey,OT Doctoral-Level Programs,"Rutgers, The State University of New Jersey",100
New Jersey,OT Masters-Level Programs,Kean University,93
New Jersey,OT Masters-Level Programs,Seton Hall University,90
New Jersey,OT Masters-Level Programs,Stockton University,100
New Jersey,OTA Level Program,Eastwick College,66
New Jersey,OTA Level Program,Felician University,0
New Jersey,OTA Level Program,Raritan Valley Community College,75
